zone_id,zone_name,zone_description,zone_interval_price,zone_time_start,zone_time_end,zone_work_days,zone_pay_time_limit,zone_active,zone_sort,zone_valid_from,zone_valid_to,BillingFirstMinutes,zone_billing_interval
9,Žalioji 8-18h,"I-VI 0,30 Eur/h",0.06,8.00,18.00,"1,2,3,4,5,6",12,1,7,2015-01-01 01:00:00.0000000,NULL,0,12
12,Geltonoji 8-20h,"I-VI 0,60 Eur/h",0.12,8.00,20.00,"1,2,3,4,5,6",12,1,5,2015-01-01 01:00:00.0000000,NULL,0,12
21,Geltonoji 8-16h,"I-V 0,60 Eur/h",0.12,8.00,16.00,"1,2,3,4,5",12,1,6,2015-01-01 01:00:00.0000000,NULL,0,12
24,Geltonoji 8-20h,"I-VII 0,60 Eur/h",0.12,8.00,20.00,"1,2,3,4,5,6,7",12,1,4,2015-01-01 01:00:00.0000000,NULL,0,12
26,Mėlynoji 8-24h,"I-VII 2,50 Eur/h",0.50,8.00,23.59,"1,2,3,4,5,6,7",12,1,1,2017-03-01 01:00:00.0000000,NULL,0,12
29,Raudonoji 8-22h,"I-VI 1,50 Eur/h",0.30,8.00,22.00,"1,2,3,4,5,6",12,1,3,2017-03-01 01:00:00.0000000,NULL,0,12
62,Karklės 8-20h,(nuo 05.01 iki 09.15),0.30,8.00,20.00,"1,2,3,4,5,6,7",60,1,7,2018-11-15 00:00:00.0000000,NULL,0,12
63,Raudonoji Smiltynė 8-22h,(nuo 05.01 iki 09.15),0.30,8.00,22.00,"1,2,3,4,5,6,7",20,1,3,2018-11-15 00:00:00.0000000,NULL,0,10
64,Raudonoji Š/P Ragas 8-18h,"I-VII 0,90 Eur/h",0.30,8.00,18.00,"1,2,3,4,5,6,7",20,1,2,2018-11-15 00:00:00.0000000,NULL,0,10
65,Raudonoji 8-18h,"I-V 0,90 Eur/h",0.30,8.00,18.00,"1,2,3,4,5",20,1,1,2018-11-15 00:00:00.0000000,NULL,0,10
66,Mėlynoji 8-18h,"I-V 0,30 Eur/2h",0.30,8.00,18.00,"1,2,3,4,5",120,1,6,2018-11-15 00:00:00.0000000,NULL,0,12
67,Žalioji 10-20 h,(nuo 05.01 iki 09.15),0.00,10.00,20.00,"1,2,3,4,5,6,7",60,1,5,2018-11-15 00:00:00.0000000,NULL,0,12
68,Geltonoji 8-18h,"I-V 0,60 Eur/h",0.00,8.00,18.00,"1,2,3,4,5",30,1,4,2018-11-15 00:00:00.0000000,NULL,0,10
70,Oranžinė 8-24h,"I-VII 2,00 Eur/h",0.00,8.00,23.59,"1,2,3,4,5,6,7",12,1,1,2019-03-18 00:00:00.0000000,NULL,0,12
71,Geltonoji 8-18h,"I-V 2,00 Eur/h",0.00,8.00,18.00,"1,2,3,4,5",12,1,2,2019-03-18 00:00:00.0000000,NULL,0,12
72,Raudonoji 8-18h,"I-V 1,20 Eur/h",0.00,8.00,18.00,"1,2,3,4,5",12,1,3,2019-03-18 00:00:00.0000000,NULL,0,12
73,Mėlynoji 8-18h,"I-V 0,60 Eur/h",0.00,8.00,18.00,"1,2,3,4,5",12,1,4,2019-03-18 00:00:00.0000000,NULL,0,12
74,Žalioji 8-18h,"I-V 0,30 Eur/h",0.00,8.00,18.00,"1,2,3,4,5",12,1,5,2019-03-18 00:00:00.0000000,NULL,0,12
